MARKER,SD,MISSING
M20443,3.582857143,8
M20455,6.418181818,18
M20535,6.563636364,16
M20555,1.598870056,7
M20566,9.730337079,4
M20628,7.812121212,14
M20713,0.65060241,15
M20785,1.218181818,16
M20842,1.6375,20
M20914,2.481481481,17
M20963,0.463687151,4
M20991,0.76,29
M20998,0.182320442,3
M21020,4.3375,18
M21075,2.756756757,30
M21079,5.152941176,12
M21126,4.905882353,10
M21127,6.73255814,10
M21209,2.615384615,25
M21320,4.120481928,14
M21364,9.84,28
M21398,5.302325581,8
M21445,11,33
M21464,0.165644172,18
M21485,5.013422819,28
M21560,4.868852459,1
M21584,2.847058824,13
M21661,6.398843931,8
M21663,3.197674419,11
M21672,3.477419355,26
M21689,2.986928105,28
M21699,2.786666667,29
M21705,1.951807229,16
M21718,5.033898305,7
M21810,5.7,21
M21812,7.836158192,5
M21828,6.26744186,11
M21844,0.45,19
M21880,3.582857143,6
M21905,4.829268293,15
M21984,2.622641509,20
M21990,3.853333333,30
M22010,1.525714286,7
M22014,0.461538462,23
M22026,2.81595092,17
M22078,5.165680473,11
M22157,5.24,26
M22244,1.93081761,21
M22287,4.2375,21
M22371,3.140350877,9
M22382,2.374233129,18
M22453,4.53164557,22
M22466,2.422818792,29
M22484,3.023121387,7
M22551,3.96,27
M22567,3.413793103,9
M22570,0.094972067,5
M22733,4.897142857,6
M22841,9.036809816,16
M22905,1.404624277,8
M22931,1.625698324,5
M22964,5.092105263,26
M22965,5.407643312,24
M23003,0.105882353,10
M23026,4.691275168,27
M23029,5.145251397,3
M23061,0.767955801,2
M23086,2.761363636,6
M23134,0.85620915,28
M23190,2.209580838,12
M23227,3.290697674,10
M23261,5.622516556,28
M23295,0.417721519,22
M23315,0.034883721,10
M23366,2.852272727,6
M23408,11.83018868,21
M23455,2.593220339,6
M23515,6.642384106,31
M23533,1.768211921,26
M23535,0.72,29
M23537,4.413173653,15
M23551,4.063291139,22
M23570,8.597765363,5
M23673,6.925925926,18
M23748,1.219653179,8
M23846,4.040462428,9
M23848,1.472727273,16
M23855,3.395348837,10
M23870,8.153374233,18
M23878,1.237288136,6
M23881,6.898876404,4
M23916,0.364864865,31
M23961,0.754385965,11
M24034,0.20754717,21
M24036,3.037037037,19
M24052,6.294797688,8
M24141,6.633136095,11
M24161,1.684563758,30
M24178,7.277456647,9
M24232,6,26
M24410,10.96363636,14
M24499,5.850828729,3
M24513,4.777777778,9
M24525,0.814814815,20
M24645,2.097560976,16
M24800,6.723756906,3
M24818,2.964912281,10
M24840,1.451612903,24
M24851,1.132450331,27
M24869,8.367231638,7
M24909,3.012269939,17
