MARKER,SD,MISSING
41225,4.056179775,6
41238,9.842105263,13
41250,2.892857143,16
41274,6.25974026,30
41355,2.157894737,13
41370,3.123595506,6
41377,12.58108108,36
41441,9.072727273,19
41457,5.988505747,10
41461,2.656804734,15
41544,39.84146341,20
41555,3.412121212,19
41586,46.14285714,9
41592,10.70860927,33
41646,0.869822485,15
41651,8.141242938,7
41686,0.766081871,13
41742,2.573170732,20
41749,3.265822785,26
41751,6,12
41797,9.9,24
41813,3.185185185,22
41939,6.769230769,28
41962,6.48603352,5
41971,4.792207792,30
42091,41.85882353,14
42098,3.357541899,5
42137,37.05263158,32
42204,3.951219512,20
42246,2.544303797,26
42253,1.894736842,32
42333,7.2,24
42365,6.363128492,5
42368,8.195530726,5
42376,9.852272727,8
42383,6.151898734,26
42519,5.895705521,21
42526,1.404624277,11
42548,5.125,8
42611,2.681818182,8
42671,3.836363636,19
42682,9.729281768,3
42819,2.348571429,9
42843,5.731428571,9
42863,2.380952381,16
42932,1.633333333,4
42954,1.617449664,35
42965,9.745341615,23
42992,1.072727273,19
43025,1.027027027,36
43035,2.072847682,33
43114,1.388235294,14
43120,1.662162162,36
43133,1.192090395,7
43147,4.426829268,20
43275,4.917647059,14
43297,4.355555556,4
43310,1.244186047,12
43325,2.590909091,8
43339,3.402597403,30
43393,8.204819277,18
43442,2.082352941,14
43468,14.89285714,16
43519,4.303867403,3
43537,4.690607735,3
43556,52.32934132,17
43602,10.37430168,5
43606,0.923076923,28
43633,1.898734177,26
43646,0.640449438,6
43655,3.32183908,10
43660,7.107784431,17
43687,12.73006135,21
43716,0.551282051,28
43736,3.280701754,13
43767,7.282208589,21
43779,0.463687151,5
43791,0.152542373,7
43796,4.786163522,25
43830,3.689655172,10
43874,4.643312102,27
43900,0.801169591,13
43921,6.408284024,15
43982,3.174496644,35
44052,3.134228188,35
44056,4.39869281,31
44057,6.723756906,3
44064,1.127388535,27
44084,7.217948718,28
44219,13.06779661,7
44272,1.795321637,13
44321,2.959459459,36
44329,0.86163522,25
44423,0.88,34
44448,3.730769231,28
44471,4.595505618,6
44492,6.972972973,36
44509,2.640718563,17
44516,1.670454545,8
44528,6.463087248,35
44579,2.382716049,22
44600,7.729411765,14
44648,1.797385621,31
44679,4.042944785,21
44741,7.282208589,21
44760,1.979591837,37
44765,1.49689441,23
44816,38.35849057,25
44863,3.847457627,7
44931,5.230769231,28
45056,43.44571429,9
45057,3.0375,24
45086,1.849162011,5
45094,1.5,20
45175,37.01234568,22
45176,5.125,8
45201,3.359281437,17
45219,5.711864407,7
45310,3.195402299,10
45315,6.303370787,6
45333,2.375722543,11
45347,12.05882353,14
45348,0.727810651,15
45356,88.64705882,31
45362,5.013605442,37
45375,0.6375,24
45383,0.814569536,33
45528,5.091428571,9
45532,0.86440678,7
45542,2.615384615,28
45557,1.218181818,19
45603,26.58169935,31
45654,4.813333333,34
45702,1.011428571,9
45745,2.031446541,25
45753,3.186335404,23
45812,4.114942529,10
