MARKER1,MARKER2,SD,MISSING,APER,BPER,ABPER
386,12758,6.432098765,22,19.1,21.0,59.9
387,12780,3.619354839,29,25.2,18.7,56.1
388,12783,4.317919075,11,20.2,22.0,57.8
389,12866,1.82208589,21,20.9,24.5,54.6
390,12903,2.229885057,10,27.0,20.1,52.9
391,12915,6.759036145,18,16.3,27.7,56.0
392,12922,6.34591195,25,27.7,16.4,56.0
393,12952,14.64497041,15,12.4,27.2,60.4
394,12957,3.706586826,17,18.6,27.5,53.9
395,12965,4.641618497,11,27.7,17.9,54.3
396,12995,3.178343949,27,19.1,28.7,52.2
397,13006,3.273809524,16,28.0,19.0,53.0
398,13010,1.927152318,33,29.8,22.5,47.7
399,13107,70.62732919,23,0.0,46.6,53.4
400,13109,3.755813953,12,18.6,27.3,54.1
401,13144,2.651162791,12,19.8,27.9,52.3
402,13178,3.949152542,7,26.0,18.6,55.4
403,13195,4.228070175,13,23.4,19.3,57.3
404,13234,0.74025974,30,22.1,26.6,51.3
405,13250,0.857142857,30,22.1,27.3,50.6
406,13258,1.24516129,29,25.2,21.3,53.5
407,13280,1.466666667,4,23.3,22.2,54.4
408,13287,3.952380952,16,29.8,19.0,51.2
409,13290,3.451219512,20,18.9,25.6,55.5
410,13299,0.592814371,17,22.8,24.6,52.7
411,13337,0.638709677,29,27.1,22.6,50.3
412,13357,8.770700637,27,19.7,18.5,61.8
413,13376,0.409638554,18,25.3,22.9,51.8
414,13401,31.63030303,19,7.9,23.0,69.1
415,13430,3.179640719,17,28.1,19.2,52.7
416,13438,4.905882353,14,27.6,17.6,54.7
417,13443,6.586592179,5,24.6,17.3,58.1
418,13499,4.893491124,15,18.9,23.1,58.0
419,13504,4.569060773,3,23.2,19.3,57.5
420,13558,40.21590909,8,24.4,5.7,69.9
421,13574,2.220125786,25,20.1,25.2,54.7
422,13580,0.702380952,16,27.4,25.6,47.0
423,13607,1.530612245,37,22.4,22.4,55.1
424,13623,0.044444444,4,24.4,25.6,50.0
425,13697,38.36842105,32,33.6,3.3,63.2
426,13722,0.529411765,31,23.5,23.5,52.9
427,13758,4.247058824,14,28.2,18.2,53.5
428,13810,3.013422819,35,22.1,20.8,57.0
429,13811,0.2,14,23.5,25.3,51.2
430,13820,11.94047619,16,22.0,15.5,62.5
431,13825,1.417582418,2,27.5,21.4,51.1
432,13891,1.049079755,21,28.2,22.7,49.1
433,13970,10.25748503,17,29.9,14.4,55.7
434,13973,0.333333333,31,24.2,23.5,52.3
435,13999,3.125,8,19.3,27.8,52.8
436,14027,0.818181818,8,26.7,22.2,51.1
437,14068,0.552795031,23,23.0,24.2,52.8
438,14139,0.292517007,37,23.1,25.2,51.7
439,14198,2.472527473,2,23.6,20.9,55.5
440,14214,11.52287582,31,15.0,22.2,62.7
441,14240,1.719101124,6,27.0,20.8,52.2
442,14280,0.87804878,20,23.2,23.2,53.7
443,14307,0.952941176,14,27.6,25.9,46.5
444,14342,2.705521472,21,19.6,28.2,52.1
445,14347,13.01351351,36,20.9,14.9,64.2
446,14356,1.167597765,5,27.4,21.8,50.8
447,14413,10.34177215,26,13.9,28.5,57.6
448,14443,0.561797753,6,23.6,23.6,52.8
449,14449,0.801324503,33,23.2,23.2,53.6
450,14456,6.6,14,18.2,22.4,59.4
451,14563,7.052631579,32,24.3,16.4,59.2
452,14577,4.497142857,9,18.9,24.0,57.1
453,14628,2.859649123,13,19.9,24.6,55.6
454,14633,1.662162162,36,29.1,21.6,49.3
455,14664,1.146067416,6,28.1,22.5,49.4
456,14780,12.29411765,31,13.7,24.2,62.1
457,14788,34.46938776,37,4.1,30.6,65.3
458,14825,1.372881356,7,22.0,28.2,49.7
459,14852,0.952941176,14,25.9,21.8,52.4
460,14884,6.398843931,11,16.8,28.9,54.3
461,14922,3.157303371,6,24.7,19.7,55.6
462,14937,7.846153846,28,23.1,16.7,60.3
463,14949,5.857142857,16,23.8,17.9,58.3
464,14965,2.139072848,33,27.2,19.9,53.0
465,14997,0.052631579,32,25.7,24.3,50.0
466,15018,3.331360947,15,26.6,18.9,54.4
467,15045,1.437869822,15,23.7,21.9,54.4
468,15069,2.141242938,7,21.5,23.2,55.4
469,15088,4.04516129,29,20.6,21.3,58.1
470,15097,1.849162011,5,25.7,20.7,53.6
471,15151,6.387755102,37,17.7,22.4,59.9
472,15172,21.27745665,11,29.5,9.8,60.7
473,15173,1.064102564,28,28.2,22.4,49.4
474,15223,2.02994012,17,24.0,21.0,55.1
475,15263,4.767741935,29,27.1,17.4,55.5
476,15447,1.8,19,21.8,23.0,55.2
477,15463,6.877300613,21,25.2,16.6,58.3
478,15513,7.506493506,30,19.5,19.5,61.0
479,15527,10.5862069,10,22.4,16.1,61.5
480,15568,11.33333333,22,23.5,14.8,61.7
481,15592,1.844720497,23,25.5,20.5,54.0
482,15607,1.301675978,5,22.3,23.5,54.2
483,15617,1.036363636,19,24.8,21.8,53.3
484,15644,1.022857143,9,25.7,21.7,52.6
485,15647,3.61038961,30,19.5,23.4,57.1
486,15654,8.506024096,18,25.3,15.7,59.0
487,15695,3.318181818,8,21.0,22.2,56.8
488,15718,2.731843575,5,20.1,24.6,55.3
489,15777,4.880794702,33,17.2,27.8,55.0
490,15803,3.902857143,9,18.9,25.1,56.0
491,15814,3.179640719,17,19.2,25.7,55.1
492,15842,9.72,34,16.0,34.0,50.0
493,15843,3.178571429,16,20.2,23.2,56.5
494,15870,2.098265896,11,22.0,22.5,55.5
495,15878,0.195266272,15,26.0,23.7,50.3
496,15925,3.454545455,8,20.5,22.7,56.8
497,15932,42.12280702,13,32.2,3.5,64.3
498,15956,5.056179775,6,20.8,20.8,58.4
499,15969,3.134078212,5,25.1,19.6,55.3
500,16076,2.431952663,15,23.7,20.7,55.6
501,16122,0.719512195,20,22.6,24.4,53.0
502,16133,40.30909091,19,33.3,3.6,63.0
503,16141,4.570621469,7,31.1,19.8,49.2
504,16162,0.165644172,21,26.4,24.5,49.1
505,16179,1.951807229,18,20.5,25.3,54.2
506,16245,3.289017341,11,19.7,24.3,56.1
507,16249,2,8,20.5,27.3,52.3
508,16256,2.684210526,13,21.1,29.8,49.1
509,16294,7.243243243,36,24.3,16.2,59.5
510,16297,3.110429448,21,27.0,19.0,54.0
511,16299,13.13636364,8,17.6,18.8,63.6
512,16342,4.493333333,34,18.7,23.3,58.0
513,16373,1.922155689,17,26.3,20.4,53.3
514,16393,4.068965517,10,20.1,22.4,57.5
515,16467,7.11627907,12,23.3,17.4,59.3
516,16484,2.862068966,10,24.1,20.1,55.7
517,16495,2.918918919,36,23.0,20.3,56.8
518,16542,4.095238095,16,18.5,25.6,56.0
519,16579,0.183673469,37,24.5,23.8,51.7
520,16589,2.081395349,12,25.6,20.3,54.1
521,16622,1.734177215,26,21.5,23.4,55.1
522,16657,37.01351351,36,31.1,3.4,65.5
523,16678,3.658227848,26,20.9,21.5,57.6
524,16807,47.11173184,5,33.0,2.8,64.2
525,16824,1.407407407,22,25.9,21.0,53.1
526,16827,0.292517007,37,23.1,25.2,51.7
527,16850,2.658823529,14,24.7,20.0,55.3
528,16856,5.988505747,10,21.3,19.5,59.2
529,16865,0.463687151,5,24.0,23.5,52.5
530,16869,2.211428571,9,29.7,22.3,48.0
531,16884,11.83018868,25,28.3,13.2,58.5
532,16910,5.684210526,32,25.0,17.1,57.9
533,16938,1.943181818,8,26.7,20.5,52.8
534,16941,3.610778443,17,19.2,24.6,56.3
535,16961,5.544378698,15,17.2,27.8,55.0
536,16982,0.483870968,29,22.6,25.8,51.6
537,17033,2.329411765,14,20.6,24.1,55.3
538,17046,42.84,9,36.0,4.0,60.0
539,17048,6.171974522,27,22.9,17.8,59.2
540,17054,3.012738854,27,20.4,22.9,56.7
541,17070,1.397727273,8,21.6,24.4,54.0
542,17076,2.373333333,34,23.3,20.7,56.0
543,17083,3.316384181,7,19.8,29.4,50.8
544,17149,1.867052023,11,23.1,29.5,47.4
545,17154,4.631578947,32,18.4,23.7,57.9
546,17202,3.980645161,29,18.1,27.1,54.8
547,17222,0.748571429,9,22.3,25.1,52.6
548,17234,2.894117647,14,22.4,21.2,56.5
549,17240,8.23255814,12,24.4,16.3,59.3
550,17245,4.556886228,17,19.8,22.2,58.1
551,17315,1.472727273,19,21.8,23.6,54.5
552,17323,7.959537572,11,23.7,16.8,59.5
553,17348,0.966101695,7,24.9,22.0,53.1
554,17439,0.973333333,34,22.7,23.3,54.0
555,17466,7.917197452,27,18.5,20.4,61.1
556,17494,3.426229508,1,21.3,21.9,56.8
557,17514,3.6,14,18.8,25.9,55.3
558,17516,1.546583851,23,23.0,29.2,47.8
